Extra options: []
Measured: 10 times

Total Average: 1858.052300 msec
Total Max:     1893.928000 msec
Total Min:     1807.436000 msec

    AVERAGE         MAX         MIN
------------------------------------
1755.874100 1793.323000 1706.433000: C:\Users\kepax\AppData\Local\nvim\init.lua
1751.338600 1788.792000 1702.001000: require('lazy-plugins')
1323.861700 1353.975000 1293.540000: C:/Users/kepax/AppData/Local/nvim-data/lazy/win-ime-con.nvim/plugin/win_ime_con.vim
 528.838000  538.613000  513.599000: F:\Program Files\Neovim\share\nvim\runtime\autoload\provider\python3.vim
  55.779300   57.631000   54.728000: require('vim._defaults')
  55.668100  112.272000   12.127000: require('nvim-tree.api')
  29.791900   33.743000   27.578000: require('nvim-tree')
  23.389400   23.906000   23.116000: locale set
  16.554200   18.726000   14.026000: require('telescope.pickers')
  15.094900   18.909000   13.131000: require('fidget')
  14.387400   18.043000   12.696000: require('nvim-tree.lib')
  14.209400   18.424000   12.027000: C:/Users/kepax/AppData/Local/nvim-data/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
  13.997400   17.485000   12.171000: require('nvim-tree.renderer')
  13.970800   15.659000   12.456000: require('nvim-tree.commands')
  12.697900   16.876000   10.518000: require('nvim-treesitter')
  10.747900   12.096000    9.517000: require('nvim-tree.actions')
  10.690200   14.979000    8.568000: require('fidget.progress')
  10.556900   24.154000    7.983000: require('telescope.config')
   9.524900   14.207000    6.312000: require('nvim-treesitter.install')
   7.996300    9.107000    6.916000: require('nvim-tree.core')
   6.971900    7.826000    5.960000: require('hlslens.main')
   6.907000    7.907000    5.947000: require('nvim-tree.explorer')
   6.552400    7.531000    6.132000: C:\Users\kepax\AppData\Local\nvim-data\lazy\tokyonight.nvim\colors\tokyonight-night.lua
   6.320900    7.404000    5.877000: reading ShaDa
   6.229300    8.010000    4.820000: require('fidget.progress.lsp')
   6.141500    7.561000    5.514000: C:/Users/kepax/AppData/Local/nvim-data/lazy/mason-tool-installer.nvim/plugin/mason-tool-installer.lua
   6.015700    7.565000    5.050000: require('telescope.actions')
   5.905400    7.017000    4.606000: require('mason')
   5.850800    6.753000    4.924000: require('hlslens.cmdline')
   5.803900    7.140000    5.172000: require('mason-tool-installer')
